instrument_name,industry,total_percentage,fund_count
"JSW Dulux Limited","Consumer Durables",15.5754,5
"Jyoti CNC Automation Ltd","Industrial Manufacturing",15.5637,5
"Jindal Stainless Ltd.","Ferrous Metals",15.5048,6
"Hindustan Copper Ltd.","Non - Ferrous Metals",15.4512,6
"EQ - TORRENT PHARMACEUTICALS LTD.","Pharmaceuticals & Biotechnology",15.3191,5
"MRF Limited","Auto Components",15.2828,6
"ICICI Prudential Life Insurance Company Ltd.","Insurance",15.2547,6
"ANANT RAJ LIMITED","Realty",15.1256,4
"Rate Gain Travel Technologies Ltd","It - Software",14.8023,5
"Sobha Limited","Realty",14.8012,6
"Emmvee Photovoltaic Power Ltd.","Electrical Equipment",14.7984,6
"EQ - SHRIRAM FINANCE LTD","Finance",14.7794,4
"Cholamandalam Invest & Finance Co Ltd","Finance",14.7379,5
"EQ - PIDILITE INDUSTRIES LTD.","Chemicals & Petrochemicals",14.7245,5
"Indegene Limited","Healthcare Services",14.7152,6
"Skyways Air Services Ltd.","Transport Services",14.5849,4
"SBI Cards and Payment Services Limited","Finance",14.5671,5
"Ami Organics Ltd","Pharmaceuticals & Biotechnology",14.545,4
"Concord Biotech Limited","Pharmaceuticals & Biotechnology",14.3407,4
"Poonawalla Fincorp Limited","Finance",14.2355,6
"EQ - ASIAN PAINTS (INDIA) LTD.","Consumer Durables",14.2303,4
"Alphabet Inc A","Interactive Media & Services",14.2066,3
"Emcure Pharmaceuticals Ltd.","Pharmaceuticals & Biotechnology",14.2019,5
"SIEMENS ENERGY INDIA LTD","Electrical Equipment",14.0067,6
"PG Electroplast Limited","Consumer Durables",13.9768,5
"EQ - SAMVARDHANA MOTHERSON INTL LTD","Auto Components",13.8462,5
"EQ - AU SMALL FINANCE BANK LTD","Banks",13.768,5
"EQ - COAL INDIA LTD.","Consumable Fuels",13.7534,4
"Asian Paints(India) Ltd.","Consumer Durables",13.6433,4
"Five-Star Business Finance Limited","Finance",13.6366,5
"Equitas Small Finance Bank Ltd","Banks",13.6061,6
"Thermax Ltd.","Electrical Equipment",13.5453,5
"Ventive Hospitality Limited","Leisure Services",13.5322,2
"OnEMI Technology Solutions Limited","Finance",13.5004,4
"EQ - ADANI POWER LTD.","Power",13.4783,4
"Sumitomo Chemical India Limited","Fertilizers & Agrochemicals",13.4075,3
"HDFC Life Insurance Co Limited","Insurance",13.4057,5
"TATA Capital Ltd.","Finance",13.3833,5
"Aditya Birla Sun Life AMC Limited","Capital Markets",13.3059,5
"Tata Power Co Ltd","Power",13.1852,5
"EQ - APOLLO HOSPITALS ENTERPRISE LT","Healthcare Services",13.0436,4
"SHIPROCKET LIMITED","Transport Services",12.9801,5
"DIVI LABORATORIES LTD","Pharmaceuticals & Biotechnology",12.914,3
"Advit Jewels Ltd.","Consumer Durables",12.889,3
"Lumax Auto Technologies Limited","Auto Components",12.8791,4
"Coromandel International Limited","Fertilizers & Agrochemicals",12.8769,5
"Dr Agarwals Health Care Limited","Healthcare Services",12.8481,5
"Affle (India) Ltd","It - Services",12.7884,5
"Sudeep Pharma Ltd.","Chemicals & Petrochemicals",12.7577,3
"EQ - INFO-EDGE (INDIA) LTD.","Retailing",12.6291,2
"Endurance Technologies Limited","Auto Components",12.6121,5
"Cholamandalam Investment & Fin Co Ltd.","Finance",12.5675,4
"Aadhar Housing Finance Ltd","Finance",12.5651,5
"Berger Paints India Ltd.","Consumer Durables",12.5292,5
"SRF Limited","Chemicals & Petrochemicals",12.4944,5
"Amazon Com Inc","Broadline Retail",12.438,3
"Godfrey Phillips India Limited","Cigarettes & Tobacco Products",12.2406,5
"EQ - INDUSIND BANK","Banks",12.2033,3
"NLC India Limited","Power",12.1767,5
"Taiwan Semiconductor Manufacturing Co. Ltd","It - Hardware",12.1754,2
"EQ - CG POWER & IND SOLUTIONS LTD","Electrical Equipment",12.1233,5
"EQ - AVENUE SUPERMARTS LTD.","Retailing",12.1067,5
"EQ - PB FINTECH LTD","Financial Technology (fintech)",12.0578,4
"Belrise Industries Ltd.","Auto Components",12.0318,5
"ESDS Software Solution Ltd","It - Services",12.0109,3
"EQ - AJANTA PHARMA LTD.","Pharmaceuticals & Biotechnology",11.9903,4
"EQ - LTM Limited","It - Software",11.9532,4
"SAGILITY INDIA LIMITED","It - Services",11.9483,5
